userID,placeID,rating,food_rating,service_rating
U1077,135085,2,2,2
U1077,135038,2,2,1
U1077,132825,2,2,2
U1077,135060,1,2,2
U1068,135104,1,1,2
U1068,132740,0,?,0
U1068,132663,1,1,1
U1068,132732,0,0,0
U1068,132630,1,1,1
U1067,132584,2,2,2
U1067,132733,1,1,1
U1067,132732,1,2,2
U1067,132630,1,0,1
U1067,135104,0,0,0
U1067,132560,1,0,0
U1103,132584,1,2,1
U1103,132732,0,0,2
U1103,132630,1,2,0
U1103,132613,2,2,2
U1103,132667,1,2,2
U1103,135104,1,?,0
U1103,132663,?,0,?
U1103,132733,2,2,2
U1107,132660,2,2,1
U1107,132584,2,2,2
U1107,132733,?,2,?
U1044,135088,2,2,2
U1044,132583,1,2,1
U1070,132608,2,2,1
U1070,132609,1,1,1
U1070,132613,1,1,0
U1031,132663,0,0,0
U1031,132665,0,?,0
U1031,132668,0,0,0
U1082,132630,1,1,1
U1023,132715,0,0,0
U1023,132717,0,0,0
U1082,132613,0,0,0
U1082,132594,0,0,0
U1082,132608,0,0,0
U1082,132609,0,0,0
U1082,132663,0,0,0
U1082,132560,0,0,0
U1060,132564,2,2,2
U1060,132717,2,2,2
U1060,132733,2,1,2
U1060,132740,1,2,1
U1015,135071,0,0,0
U1123,132733,1,2,1
U1123,132608,1,2,1
U1123,135104,?,2,?
U1123,132584,1,2,0
U1123,132667,1,2,1
U1123,132740,1,1,1
U1123,132613,1,2,1
U1123,132594,1,1,1
U1021,132740,2,?,1
U1026,132626,2,2,2
U1021,132668,2,2,2
U1021,132715,2,2,1
U1044,134987,0,0,0
U1083,135034,?,2,?
U1083,132723,?,1,?
U1083,135046,2,2,1
U1108,135075,2,2,2
U1108,132572,?,?,?
U1108,135074,2,2,1
U1108,135028,1,1,1
U1108,135085,1,2,1
U1108,135032,2,1,2
U1108,135086,?,1,?
U1108,132723,2,2,2
U1108,135046,1,2,1
U1108,135058,1,1,1
U1012,135001,1,1,2
U1012,134983,2,2,2
U1012,134996,2,2,2
U1093,135019,?,2,?
U1093,134996,2,2,2
U1093,135001,2,2,2
U1093,134976,2,2,1
U1093,134999,2,?,2
U1030,135018,2,2,2
U1093,135013,2,?,1
U1030,134986,2,?,2
U1012,134986,2,2,2
U1012,135018,2,2,2
U1030,135088,1,0,1
U1093,132767,2,2,2
U1030,135016,?,0,?
U1093,135011,1,1,0
U1030,132767,0,0,0
U1030,135019,0,0,0
U1030,135109,0,0,0
U1030,134996,?,0,?
U1066,135011,1,2,2
U1066,134999,?,1,?
U1127,134975,2,2,2
U1127,135021,?,1,?
U1127,134987,2,?,2
U1127,134996,?,2,?
U1017,132768,?,1,?
U1066,135019,2,1,0
U1017,134975,2,1,1
U1017,134983,0,0,1
U1066,132767,1,?,1
U1100,135021,2,1,0
U1100,134996,2,1,1
U1066,135013,1,2,2
U1100,135000,?,1,?
U1100,135001,2,2,2
U1100,132768,2,2,2
U1100,134976,2,2,1
U1133,134983,1,1,1
U1133,134986,2,2,2
U1133,132766,1,1,0
U1133,132767,0,0,0
U1133,135021,2,2,2
U1133,135001,2,2,2
U1133,134975,1,?,1
